a-profile-name,Ratings,Date_time,Reviews
Jeffrey G. Smith,4.0,"April 22, 2015","UPDATE - Mr. Coffee is sending us a new unit to replace the failed experiment that was the first one. Credit to them, right? I'm updating my rating from 1 to 4. I'll keep you posted if there are changes.-----Unfortunately, this coffee maker has begun malfunctioning. The digital indicator is fogged up and it began beeping non-stop this morning to indicate the brew was done. Something has gone wrong with it and we purchased it brand new less than three months ago."
Lawbrown,5.0,"October 9, 2013","I was skeptical about Mr. Coffee.  I have used mostly Cuisinart products in the past.  I have had this for about a month and use it once or twice each day.PROS:This pot pours easily with out spills or drips.The profile of the machine is low enough to fit under the cabinets above the counter.The water level is easy to see when filling the tank, no accidental over filling.The autobrew function works with no problems.The burner plate shuts off before the coffee burns.  (Only used once.  Usually the pot is empty before it times out.)Easy to use.CONS:Kind of dorky filter that sits over the coffee grounds when brewing.  It works fine, but it is different.I am very happy with this coffee maker and would buy another one.  I really hope it lasts for a while."
PP,5.0,"December 27, 2012","I've had this coffee maker for about a month and I love every feature about it.  For the price, I don't think it can be beat. For those who have listed that it is hard to pour water in it in the back and for the beeping that it makes when the coffee is ready, I just don't get either complaint. There is  plenty of room to pour the water in, and the beeping is very faint at best.  I did make sure to run mine with 3 brews of water and one with vinegar and I didn't experience any plastic type smells."
Hugbell,5.0,"August 31, 2016","Mr. Coffee has never let me and my family down. Our old coffeemaker started staying on constantly it was at least a good five years old, we only discovered it by accident when I smelled something hot. This is one of the better designs as the door where you place the water on top is set into the coffee maker itself! Which means no more water on the cabinet from sweating coffee makers!"
Samantha Peak-Rowe,4.0,"November 24, 2015",I bought this when my old one broke I needed a new one at a good price. I've had the Mr. Coffee 12-Cup Programmable Coffee Maker for over a year and it's still working great. The only downfall is having to buy the replacement filters. If you don't use them the coffee tastes really funky. If you want something fancy this isn't the machine for you.
Caroline,1.0,"September 20, 2013","This coffee maker was recommended in  the reviews - it also had some negative reviews which I ignored, unfortunately.  The coffee still has a lingering taste of plastic, after numerous usages.  It also doesn't taste like coffee - it just doesn't taste like much of anything, despite using more and more coffee when I make it. I hate to return it but my husband complains about the bad coffee he is getting. What to do?"
Becky Reed,1.0,"May 5, 2016",I  bought this product in Jan. 2016. It already does not work. The heating element has gone in it and will not brew. I am very disappointed in this product. I thought with it costing more and having good reviews that it would be a good investment. Boy was I wrong! This compares to the really cheap products that only last a few months. VERY DISAPPOINTED.
Duffer.,5.0,"August 4, 2014","I switched to K and Vue cups because of the convenience they provide. I got rid of my coffee grind & brewer, my stand alone grinder and my non-grinder coffee maker. My Vue cup died fairly young so I had to return it to BJ's. Having use of only a K-Cup brewer I have purchased every brand, every roast and every boldness that I can find. All  of them seem to taste about the same to me. When I purchased a Hawaiian Blend that had only 2% Hawaiian in it that was a signal that action was required and I decided to give my taste buds an occasional break and bought this Mr. Coffee.This coffee maker was easy to set up, looks good on my kitchen counter and is a cinch to use. I bought a bag of 100% grown and roasted in the USA Hawaiian ground coffee and brewed up a mug. What I got was REAL coffee. The Mr. Coffee has a ""Strong"" button which I pushed and brewed another cup. What a difference between Mr. Coffee and Mr. Keurig when it comes to making a satisfying cup of coffee.Ok, here is the bottom line. The K-Cup method is very fast, leaves no mess and is so simple to use that the convenience trumps the taste factor IMHO. Mr. Coffee brews coffee of far superior taste than any K-Cup. But, it does require buying filters and bags of coffee that need to be measured, takes longer to brew and requires clean up of equipment. My personal solution to this dilemma is that I will be a K-Cup user the majority of the time but when the urge for taste becomes overwhelming, which I project to happen about three or four times a month, I will ease over to where Mr. Coffee is parked and take advantage of his outstanding ability to produce an excellent cup of coffee. After I win the lottery and can hire a maid to make my coffee I will switch to Mr. Coffee exclusively."
A. H. Clay,4.0,"March 19, 2014","I bought this only because Consumer Reports loved it. So I didn't read the description particularly carefully. Wonderfully surprised! You can choose regular or strong brew, set it to brew at a later time (and it's easy), and you can order a separate thermal carafe. That comes in handy if you have a crowd that wants both decaf and regular. Just brew the first round in the thermal and then use the glass one for the other. Very attractive on the counter!"
mellagirl,3.0,"November 11, 2015",I received  this as a gift. Initially i found it not to be very user  friendly  and maintanence  is a bit of work. The coffee has  a weird machine like after taste unless you add a lot of cremer and have a very flavorful coffee. Overall its decent. Its probably  best suited  in an office setting or for huge coffee drinkers since it takes a lot of measuring and somtimes trial and error  to get a cup or two only  for light coffee drinkers like myself.
cureeousg,2.0,"February 20, 2013","We're big coffee drinkers...and love STRONG coffee.  We've used this for a month and can't get it to 1) be consistent 2) be flavorful or strong...EVEN after using the ""strong"" setting and using Italian roast or french roast (it's all we drink).We went from a Krups cone filter maker to this one, which has a flat basket and I think that makes all the difference. So, in order to get the coffee strong enough, we have to use 1.5 times the coffee we'd normally use.  So, not only did we pay 40 or so bucks for this, now we blow through coffee left and right, costing us more.Coffee snobs beware:  If you like your coffee strong, this one isn't for you.  Get one with a cone filter."
Jim M from Oregon,5.0,"February 17, 2014","After reading reviews I bought this to replace my other HB model which started to leak and stop in the middle of the brew after only 1 month beyond the 90 day return. I'm able to return the HB but needed one in the interim. The price on Amazon was excellent and I knew if anything happened to it, returning it would not be a problem. The brewing is fast and the coffee is great as I made an average of 3 to 4 pots a day. For the price you can't beat it."
david reed,4.0,"January 14, 2014","Bunn makes a far better system than this one. The consumer reporting on Bunn's has ALWAYS been negative. So why do most restaurants and chefs use Bunn? Why did Bunn receive several rewards for taste and temperature? What were they thinking? See The best home coffee brewers now have an SCAA Certification article which only list four makers.- Technivorm Moccamaster- Lance Larkin BE 112 Brew Express- Bunn HG Home Brewer This is Not the Bunn I will purchase however. I will buy the BX Classic Home Brewer, 10 Cup- Bonavita 8 Cup Exceptional Brew Coffee MakerThis maker is ok, Would recommend to folks who don't want to spend over a $100 and HAVE THE TIME TO WAIT ON A CUP OF jO.AND, like the plastickey electrical taste.I would have purchased another Bunn if I could have afforded one. Now I am saving up for my new Bunn!"
Donald M.,5.0,"June 25, 2014","I like a strong cup of coffee, so I'm used to putting in a lot of coffee grounds.  Don't make the same mistake I did.  Too many coffee grounds slowed down the drip, so as a result, the coffee backed up and ran all over the coffee maker and the counter.  After cleaning up, I figured out the problem and put fewer grounds in.  What a yummy pot of coffee  So now actually I can have a strong cup of coffee and use LESS grounds.  I'm actually saving!!"
Susan Grace,4.0,"March 27, 2014",We had an expensive Cuisinart which only lasted one year. This one was not only cheaper but makes a better cup of coffee. We also have a Keurig but only use that for special occasions or when we want an extra cup later in the day or a cup of flavored coffee. This one is easy to program and we can wake up to a full pot of fresh brewed coffee. I only gave it 4 stars because we only had it 2 months and I want to see if it lasts longer than the Cuisinart.
Kathie Bach,1.0,"February 22, 2016","I gave this coffee maker to my parents and it broke within 3 weeks. I went online to review if others had had the same problem and there were many negative comments about this machine.  When I went to return the item through Amazon, I was told it was no longer eligible for return or refund. Huge mistake. Do NOT purchase this machine. Check online reviews first. I also have to say this is the first bad experience I've had with Amazon and with a return. I usually love the products and appreciate my ability to return defective merchandise. Bad experience this time, sadly."
Jeff Herter,5.0,"December 28, 2012","You can't beat the price to performance/quality ratio on this.  I read some people had problems with it leaking.  I have no such trouble.  The unit is very well designed and vastly outperforms my previous coffee maker at the same price level.  The carafe is well balanced when full and doesn't dribble down the side as so many of them do (when full of coffee).  I love it.  Seems to brew a lot hotter than my previous unit as well giving the coffee a fuller, more robust flavor."
Kel Michaels Mantell,2.0,"May 7, 2013","AMAZON!  I received this unit used. Not correctly packaged as new, coffee stuck to top of carafe, spots on carafe and fake chrome of unit....I figured no big deal; it also had a strong smell of chlorine. I cleaned it up; thinking someone just didn't like it for whatever reason. Not so! I ran two pots thru to get the smell out and clean it; both pots: stopped at 8 cups and beeped. Water stayed in the top! I am amazed since I had the same issue with a more expensive Cuisinart!  Is it ME?!  Nope, I read instructions first even tho it isn't necessarily rocket science to run a coffee pot!  I asked for a replacement and I am HOPING it is relatively new and just plain WORKS!  Will update this unit when I get the 'next' one. The chrome is very plastic; no big deal for the price...I like the size of the unit and the buttons, etc; it just doesn't WORK!!!Update:Amazon made good and sent me out a new unit the next day! Cons: only stays on a while; had another pot that stayed on from 2-4 hours. Since I get up way before my husband; have to keep turning it off and on to stay on...you have to make sure that you put in over 12 cups in the machine to actually get 12 cups. Doesn't make a very hot cup of coffee.Overall, I won't use this for very long since I am used to a brewstation with so many more features."
Carissa88,4.0,"January 26, 2015","This coffee maker was exactly what I expected. The only ""bad"" thing is the clock doesn't light up. It's nice to have a clock you can see in the dark but not necessary for me since I have both a microwave and oven that have lighted digital clocks. The new plastic smell that occurs while brewing is only that, a smell. I don't taste it in my coffee at all. The temperature is hotter than all of my previous coffee makers though I don't have a thermometer to check the actual temp. This product is true to it's description."
Amy Conyers,5.0,"December 29, 2016","I am very glad I chose this Coffeemaker! I like that it has a filter so I can use tap water if I wanted, it has a timer so it shuts itself off after so long, makes a sound when the coffee is done brewing and when it's turned itself off, is easy to use and easy to clean."
Angela Rick,5.0,"May 11, 2014","My old coffee machine broke after 4 years of heavy use. I was looking for a mid priced programmable coffee machine and found this. It's nice looking, fits in with my kitchen (mix of stainless and black) decor and works wonderfully! Comes with a glass carafe but you can buy a thermal one if you prefer those. The machine detects which carafe you're using and operates accordingly. Really do love this coffee machine, best purchase I've made!"
Michael,1.0,"November 28, 2015","Bought this coffee pot, after owning one like it for two or three years. After a little over 4 months, when I turned it on this morning for a much needed  cup of coffee, it started brewing, leaving about a quarter inch of coffee in the bottom of the pot. Then it stopped brewing. Tried turning off and back on, and it turns on, but does not brew! I just wish it would have worked as well as the previous one I owned!"
G25,1.0,"July 6, 2015","Reports of terrible plastic taste are NOT exaggerated.I had a Cuisinart that worked great for many years, but when I finally needed to replace it, I found that reviewers said new models don't measure up. So I ordered this Mr. Coffee instead, figuring it's a vat of boiling water that drips through grounds, how hard can it be? I am using the same coffee and water that I used in my previous brewer, and the result is just awful. Seriously, I would much rather drink instant or vending machine coffee.I wish I had returned it within the 30 day period. I kept waiting for the plastic taste to go away, but I actually think it might be getting worse.Do yourself a favor and keep looking."
C. Doughty,4.0,"November 2, 2016","This is a replacement unit. I've used a similar product, same brand, for years which finally failed. I'm almost perfectly happy with it with one exception, I have to indicate I want strong coffee each time I brew some, and this machine doesn't appear to hold that selection, I have to make that selection every time I brew a pot."
tusimay,5.0,"April 25, 2012","I love this coffee maker!  I love the water filter.  It really makes the coffee taste better!  I like the other features like the delay brew and the way it turns itself off after two hours.  The coffee seams to stay fresh longer, too.  I also like being able to choose between the thermal and glass carafe.  You can also pick regular or strong brew.  Coffee is really hot.  I have been using mine for a week now and I absolutely love it!  I am very, very picky, too about my coffee.  Great price!"
Steven Buchanan,1.0,"July 2, 2017",This one quit working just a few months after I got it.It is Chinese made and must be out of poor electronics.I bought a Zojirushi and it works great so far.  It is also Chinese made but the Japanese designed it and must be working with manufacturers to make sure quality is high.
Corey Wade,1.0,"January 7, 2016","We have been satisfied with the coffee maker for 4 months. Today it stopped working. Go to the Mr Coffee website and find my symptoms, the site says to request a replacement. Four months of decent coffee, but i expected to get more than four months out of it before having to trash it."
Motown Jane,2.0,"November 16, 2013","The machine simply would not work with the thermal carafe. It shut itself off after a few seconds every time. I tried everything recommended on the website and in the manual to make sure I was positioning everything correctly. Nothing helped. It worked with the glass carafe, though the coffee was to my tastes a little weak even though i used the strong setting. However, since I bought this one to use with the thermal carafe, it has to go back."
Martin,5.0,"April 27, 2020",We like to set it at night and wake up to a fresh pot of coffee.
G. Smith,5.0,"May 17, 2015","Excellent price and shipping. Simple w/o all the bells and whistles. Great tasting coffee. Also combined with the: Mr. Coffee GTF2-1 Basket-Style Gold Tone Permanent Filter, and the Mr. Coffee DRD95 8-Cup Stainless Steel Double-Walled Thermal Carafe Accessory. I make a larg pot or 2 at one time and put in the frige. Zap a cup in microwave  and tastes fresh"
Joe Trent,3.0,"April 26, 2013","The water filter is in a terrible position in my opinion.  The fact that I have to take out and set the filter off to the side every time I want to make coffee is an annoyance.  I don't want to mess with moving the filter early in the morning.  I mean really, my eyes are barely open and I am not ""assembling"" anything at that hour.  Sure I can make it at night - and in the grand scheme - it isn't that big of a deal. (Only reason so far this not a 4/5 star machine).  - Almost forgot - the filter is ""supposed"" to be changed every 30 days - which means more ""stuff"" to buy in addition to coffee.All that being said - this coffee maker has the right price - and though it isn't my favorite because of the filter - I have coffee in the morning.  I can't really ask for much more than that.  Would I recommend this - YES.  Though, had I realized how the filter was setup prior to ordering, it is likely I would have gone for a different model."
Y. Y. Chang,3.0,"September 6, 2015","We have been using this for 3 years now. A while ago I have been smelling some smoke thought maybe it came from the next door. Later I found out it came from the coffee inside the pot.Not sure how the coffee smells so burnt that smells like cigarette smoke, which I am allergic to.It works perfect still but I guess I am gonna try a different way to brew coffee."
Kehly,3.0,"July 5, 2018","Worked well for a few years but then started leaking awfully. It leaked water from the reservoir so I couldn't ever use the delay brew, as I'd have a full pot of water on my counter and hardwood for before morning."
A CHOOSY ROSE,5.0,"March 27, 2014","We have bought so many different coffee pots at substantially higher prices than this and invariably, the water is difficult to pour or the pot leaks when filling the coffee cups, but not so here.  This is easy to use, fill, pour and has setting for regular or extra strong.  This makes a great, strong cup of coffee.  Note, it doesn't have a washable filter, so prepare to buy filters, or order a replacement filter if you need one."
webeshe,4.0,"February 4, 2013","This is a great coffee maker with extra features not expected in one at this price!  Due to its water filter, the coffee is very smooth. It lets you know when coffee is ready and before it shuts off.  You can choose regular brew or strong.  I purchased the additional thermal carafe and reusable filter basket and this machine was still less than a comparable one at Walmart!  The only thing I wish it had is a lighted clock. It has a clock but it is sometimes hard to read.  Otherwise, I am very pleased with my purchase!"
WSBooth,4.0,"October 24, 2015",Looks more expensive then the price- arrived when promised and was packaged within the a way that no damage could occur to the product.  The product meets that expectations of this user and more.  It's easy to operate and gives you options that many coffee maker products do NOT have.  I enjoy the coffeemaker very much and am pleased to say that I am a fan of this product.
Josh Hagen,5.0,"January 9, 2013","I was weary to buy this because of the reviews concerning smell and taste. As soon as I plugged it in I followed the first time use instructions provided with this unit and have had no issues whatsoever. This produces clean, hot, and quick coffee. I could not be any happier with a coffee machine unless it did my taxes as well. It even has a built in water filter that is easily removed. Use it when you want. The water filter does slow down the brewing a bit though."
Gypsy Chris,4.0,"January 18, 2014",Keeps the coffee nice and hot and was great value for money.  My only complaint is that we bought this unit based on the Consumers Report rating and we are from Canada and had to buy from Amazon US as this model was not available from Canada except at 6X the price.  We therefore had high shipping costs.  Turns out the same model is available in Canada under the Sunbeam name and had we known this we would have saved about 50% of the cost.
Michelle Lintvedt,3.0,"August 20, 2013","I called Mr. Coffee company and graciously replaced the first one without having to return the one that didn't work right.  Unfortunately the second one wouldn't work on the ""strong"" setting either.  When I called the company again (I don't know if they thought I was trying to get another free coffee maker out of the deal or what.  I offered to send it back) they said that they noticed this was my second one and that it really was working it was just a glitch in that model.  I know how it's supposed to work as my daughter has one of these.  The strong setting takes longer to brew.  This one would beep and shut the strong setting off.  Makes good coffee otherwise."
Joan,1.0,"April 22, 2019",I really did like this coffee maker. My last one worked very nicely for many years.  Unfortunately the lights go on but nothing happens. Must be a short in this one.  Too late to return.
onlineshopper3,5.0,"July 30, 2016","I have always had a Mr Coffee coffee maker. This one is the best! I can finally make 10 cups at once, Program it for delay brew and it looks great too! I love that the cord can be wrap up in the compartment in the back, leaving more counter space. Everything is easy to program. The only thing I wish it did have is the clock to light up to see it better."
Susan Cohen,1.0,"February 14, 2014","I am disappointed in this Mr. Coffee.  I did my research and this machine did get a good write up.  I find that there is a plastic smell in the machine.  Every time I lift the lid I smell it.  The coffee is just OK and does not have that smell.  It is large and cumbersome.  I also find that it is incovenient to pour the water into the recepticle.  The area in the back, where you pour the water is very small.  I would not purchase again."
Zebulbrox,2.0,"November 27, 2016","After renovations of my kitchen, I wanted a coffee pot that worked in the new space.  This coffee pot was purchased on 7/2015, by 11/2015 it stopped heating up. I replaced it with an identical make/model. Now 1 year later, it has failed. It stopped heating up. I've contacted Mr. Coffee directly with no response. For the purchase price of $34.92, it is not worth your time. I will say when it worked, it was great, but it will not last one full year."
Pamela Schubert,4.0,"October 29, 2012","The main reason I needed a new coffee maker was to replace an older Mr. Coffee that spilled more water on the counter than in the water fill area.  At first I thought my husband wasn't fully awake when pouring the water into the coffeemaker, but it happened no matter who made coffee or how carefully we poured the water.  This coffeemaker and carafe seem to be better designed so that all the water pours into the fill area.I had seen complaints about the strong plastic smell/taste, but we haven't had any problems.  I did hand wash all the plastic components and ran a carafe of water through the machine before we brewed our first pot of coffee.  Perhaps that prevented the problem.I would definitely buy this model again--and will give it as a gift in the future."
Marie,5.0,"August 3, 2013",LOVE this coffee maker. Read a review in Consumer Reports rating it second best and it is worthy of its high rating. This gem has a water filter disk that fits over the coffee basket. The coffee is brewed pipping hot & pretty quickly. This machine doesn't take up too much space on my counter top AND it looks great!  The super cool thing is that you can use a glass carafe OR a thermal carafe (Amazon sells them for only $16). Very pleased with this purchase.
Debra,3.0,"August 17, 2015","Because of the filter issue that I am experiencing, I am not certain if I like this coffee maker or not. The filters are thin and during the brewing process, the filter folds over, which adds grinds into the coffee. Not good!!I am hoping by using 2 filters at the same time will alleviate this problem. Time will tell."
Kindle Customer,1.0,"December 18, 2015","THis is the second Mr Coffee of this model. The first overflowed the basket because the water was forced through faster that it should have. It was returned under the thirty-day period. Now the second, after five months of daily use, is failing to make coffee at all. Since it is out of the 30-day return policy I will simply trash it and get some other brand of coffee maker. Strong suggestion--do not buy."
sammy,1.0,"August 28, 2017","Quit working entirely after just over a year. I think the heating element stopped working. Basically, when turned on, the water will not siphon through and there is just a small clicking sound which is probably the heating element attempting to turn on. Coffee makers should last for decades; not just one year."
Robert Therina,5.0,"February 26, 2015",The coffee maker works great and I like that I can program it so it's ready in the morning. I also like that it shuts off after 2 hours so I don't leave it on while I'm gone all day. I had to open it up and yank out the annoying beeping speaker though. It made one of my dogs bark every morning and would wake up my granddaughter when she was over. It would be nice if there was a button to disable it.
Mama Mary,5.0,"March 20, 2015","I purchased this (I might add that with Prime, at less than half ($26) of the current price showing here - do your research) as a backup to my Keurig, which I love. In the mornings I was finding myself drinking 3 or more cups of coffee though here lately and it just didn't make economical sense to plow through that many K-cups every morning. They are not cheap! I've had Mr. Coffee machines before so that's why I chose this brand - it's reliable and not over-priced. It took a little to get used to not having instantaneous coffee, but it's really not that long of a wait, although after the Keurig, it seems like it that first pot! I'm retired, so won't have much use for the auto brew feature, but it's nice that it's there if I ever need to get up at a set time to have coffee at the ready. I really like the beeping feature that both lets you know the coffee is ready and also when the unit automatically shuts off, so that if you're not quite finished with your pot, you can turn it back on. I'm so glad that I didn't listen to negative reviews about plastic smells and/or taste, or even leaking, because I haven't found any one of those complaints to be at all valid! Read the manual, follow the directions, wash everything, run a pot of water through, don't overfill the carafe, or spill when you pour the water in, and you'll have a great coffee pot with great tasting coffee at just the right temperature. It works great & does what it's supposed to! Very happy with this purchase."
Bernie Ackerman,5.0,"July 1, 2013","There is nothing not to like about this Mr Coffee model.  I got rid of my BD machine after only two months because of very loud operation and the short spout of the caraf created a mess no matter how careful I was.I bought this machine at Amazon, and it has been a dream.  It looks classy, quiet operation,pours without a mess, many options, and best of all, it makes great coffee.  No wonder it was voted best product of the year."
B. McLaughlin,2.0,"June 26, 2016","This coffee pot has been dysfunctional from the first week I bought it. I thought it was user error because I was so used to making coffee with a Keurig. However, each time the coffee would not brew correctly, I retraced my steps, and did exactly what I was supposed to do.For example, I will put the coffee grounds and water in, press start, then walk away. I here the beep and return, and find there is no coffee in the POT! I open the top and see “coffee water” floating in the filter. This has happened 4 times now. I am getting very frustrated because I am WASTING coffee!! Not to mention, it makes me late for work when I have to re-brew a pot of coffee."
Ms. M.,5.0,"October 26, 2014","I love this coffee maker!  It works perfectly. If you're like me, you've read all the reviews and are carefully considering your purchase. Rest assured, I think any of the problems noted are either anomalies or due to misuse. Mr. Coffee has been around for ages because it is easy to use, dependable, and includes the features you want in your coffeemaker. Buy and enjoy!  P.S. I love working with Amazon!  They have never disappointed me."
J Murdock,5.0,"September 4, 2015","Purchased after our 3 kuerig this year stopped working. we asked kuerig not to bother sending a replacement and instead went back to ""pot"" vs. pod coffee. Could not be happier. This model received high reviews on several consumer and coffee websites, so we gave it go and and are so happy we did. I love the pause and serve feature for the mornings I just can't wait the 8 mins for 12 cups to brew but mostly it just works and the coffee tastes good out of it. We will never go back to pod coffee again. When I really just want one cup, I'll use the Chemex or the french press. Plus this machine doesn't hog counter space and is relatively compact."
H. Shannon,2.0,"January 29, 2014","I purchased this coffee maker in January 2012 to replace a Cuisinart that dies after 18 months of use. The last few days, I've noticed that the coffee comes out like water. It isn't brewing properly because the heating unit is shot. We use this pot everyday and I even bought Mr. Coffee filters for it and changed them regularly because I figured if I was a responsible coffee maker owner, it would last. I was wrong. It lasted only 24 months. One star for each year it worked. pbbbthhhIn the Cuisinart review I said I was going to buy a Krups because I've owned one before and it served me faithfully. It's my fault for diverting from this idea. I'm buying one right after I'm done with this review."
MB0,3.0,"September 16, 2013","First of all, none of the coffee makers last anymore.  My original Mr. Coffee lasted for over 20 years.  We've been through at least 5 or 6 in the last 15, since then.  The last several weren't Mr. Coffee's on purpose; because the decanter spills water all over when trying to fill the tank.  From purchasing this one, I can see they still haven't corrected the problem.  Feature-wise, it's a very nice unit, however."
nvoss,5.0,"February 20, 2021",Great flavor
Robert S. Gurwin,4.0,"December 1, 2013","Great coffee maker for the price.  It is easy to fill since the reservoir tank has a large opening, and contrary to some of the other reviews that I have read, I have never had an issue with coffee spilling or dripping when I pour from the carafe.  I agree with the comment that others have posted about the smell and taste of plastic.  My unit is now about a month old and that is finally wearing off from daily use but unlike some of the pricer models, the housing and reservoir tank are all plastic and that comes through.  Overall, a very good unit and glad to have purchased it to replace my prior Cuisinart brand coffee maker that was a fire hazard."
Firas K,5.0,"November 13, 2014","Quality is great and one of the most things l like about it is it's easy to clean especially when it becomes a daily habit. Between cleaning, reloading and replacing, it takes me only five minutes. The only feature l wished was there is to have the option to keep the coffee warm until manually turning it off in addition to the already included feature which is the automatic 2-hour shut off. I strongly recommend this coffee maker."
N. Dudley,1.0,"April 5, 2016",This coffee maker worked great for three months and then it stopped working.  It was only returnable for 30 days so now we are stuck with a dud. I'll buy my next one locally and I'll pay a little more but at least I'll have someone to talk to if it stops working after 30 days.
Mitch,1.0,"July 6, 2016","I purchased this coffee maker less than 2 months ago - and today it decided to stop working.  I've had many Mr. Coffee coffeemakers - and despite some of the other reviews that I read on this site -  I decided to give it a try - based on history.  However - that was a mistake.  In the short time we have had it - it has overflowed once and now the water pump isn't working at all.  Instead of a full pot - we had only 6 cups this morning - and regardless of our efforts that was it.  This is nothing more than garbage.  Might as well have thrown the money away,."
DeluXXXe,4.0,"June 28, 2013","I like the look of the unit, makes decent cup of coffee. I like that you can set it up for delay brewing the night before.The little circular water filter it uses is kind of redundant (I use Brita filtered water)I hate how when you lift the lid to remove the coffee filter theres water on the top inside of the lid that collects during brewing and kind of spills on the counter. Otherwise good little coffee maker"
Brandon DeWitt,1.0,"March 26, 2016","I originally ordered one of these in January and it ended up being a problem right out of the box. Just wouldn't brew, period. Amazon was nice enough to replace it with the same model and we've been using it for a couple of months. While it has worked, it has been a good coffee maker, but just this morning, after two months, it won't brew either. Now, I can't return it to Amazon, because I'm outside of their time frame. The manufacturer offers a year warranty, but we all know how they play that game. I would not recommend anyone buying this as I've now had two duds in two months."
Anne L,5.0,"November 24, 2014","This coffeemaker is great and makes a delicious cup of coffee!  I like that an alarm sounds when the timer is ready to shut off the coffeemaker.  The filters are available at our local Wal-Mart, and I appreciate the fact that using a filter makes a better cup of coffee.  Also, the carafe is dripless which I haven't always found the case with a coffeemaker.;  Now I'd better not break this one!"
Sebastian Morgan,5.0,"July 28, 2016","Six months in, and still no complaints. Drip arrestor works well, buttons are functional. Not sure what the chlorine filter does - I can't notice the taste difference, but maybe that's because I drink my coffee black. If you like strong coffee, you'll want to use the 'strong' brew mode. I even used undersized filters for a couple of days while moving in to a new place, and grounds that washed into the arrestor were easily purged with tap water afterwards. Simple, functional, and easy to maintain."
Jake,4.0,"April 13, 2015","Pros:-when you close the lid it knocks the water arm into place-beeps when done! this is so cool!!-big opening to dump water in, making less mess when trying to wake up and get my coffee-aesthetically appealingCons:-bulky, can't slide it around on counter easily (this might be a bonus for some people)-lots of buttons I won't ever useConclusion:I like it!  Great deal."
Jason K.,5.0,"February 4, 2014","We have a Keurig, which is very convenient but not if you need to brew a pot for a larger group.  This Mr. Coffee is easy to use and program.  The plastic ""aluminum/black"" color combination looks good with our stainless steel appliances and the pot is easy to clean.  I have not tried the insulated carafe that is available but may look into that in the future to keep coffee warm without using the warmer of the coffeemaker itself."
PatD,5.0,"October 8, 2013","This was a gift but I have one exactly like it. I live alone, set it up with water the night before. Instead of ground coffee I just have the hot water which I use for instant coffee, or tea, or even cocoa. Whatever I'm in the mood for. And, because I'm sorta up in years it's nice to know it will shut itself off in a couple of hours in case I forget. If it ever breaks down I'll get another just like it."
Patricia P. Surrey,5.0,"October 1, 2012","I am quite happy with this pot.  It is easy to set the timer and easy to set up the coffee.  The coffee comes out delicious.  There is a filter included but we don't need it.  NY water tends to be pretty pure.  But if you want surgical suite level purity, the filter is cool.  It has a mechanism that tells you when the filter needs changing.  Not sure if that works, like I said.It is also pretty quiet while brewing.  I reccomend it."
Randy,4.0,"February 5, 2014","This coffee maker was rated as a best buy from consumer reports, so I decided to give it a try. Works very nice, has all the features I wanted, timer, sneak-a-cup, brew strength adjustment. Not as fast as I'd hoped, but not as slow as my old one was. My only negative is the design of the Mr. Coffee glass carafes, which make it impossible to pour a full 12 cups of water into the coffee maker without the water running down the carafe  and onto the counter. The wife doesn't appreciate that."
Sarah Gleich Lynn,3.0,"January 20, 2014","As many of the reviews have noted, this is a great inexpensive coffee maker for daily use.  It only gets three stars though because the water guage is positioned in such a way that every morning you have to pull the coffee maker all the way out from the wall and rotate it around to make sure you are putting the right amount of water in.  Maybe not an issue if you put this somewhere without overhead cabinets, but for us it is a bit of a pain."
Houtzwife,1.0,"March 24, 2015","This machine quit working after 6 weeks of use.  Just stopped brewing completely.  I had purchased a second one as a gift for a friend since I liked it so well in the beginning, but promptly returned it to Amazon when mine quit working.  I have contacted customer service at mrcoffee.com to see if they will resolve this by either fixing this machine or sending a new one to me."
Origami99,5.0,"August 11, 2015","A wonderful basic coffeemaker that works consistently and never disappoints.  I'm no coffee snob so this baby does everything I need it to (and several I don't).  It makes good coffee, works flawlessly every morning, and it's easy to clean.  I think I've only used the programmable feature once so it's not something I can review with any integrity.  I'd buy this model again without hesitation."
Elle Amazoner,2.0,"March 3, 2016","Coffee set to Strong but the coffee is weak. There is no coffee aroma in the house, as it was with my previous cheap Mr. Coffee.  I'm using the correct amount of coffee, but have not better tasting coffee.  Also, the Mr. Coffee label in the front seems to be detaching already. Dissapointing."
Philip Ross Gordon,5.0,"May 26, 2013","I have had an assortment of coffeemakers over the years. Some have been far fancier than this. However, I have found this unit to be well-designed and well-built. It is simple to use, rugged, and utterly reliable. And, it makes a great cup of coffee. It has far more bells and whistles than I need. But, having purchased the gold-plated permit coffee filter to go with it, I find that it is a set-and-forget item. Highly recommended."
Lenny Howard,4.0,"April 27, 2014","This is a fine coffee maker with some very good features including the added ability to filter the water and a digital clock that can be set to turn on the coffee maker automatically at any pre-set time of your choosing.It also features auto shut off after two hours. While this is a nice feature during the work week (don't have to wonder ""did I turn it off""), it is also a pain on the weekends when we would sometimes like it to stay on and keep the coffee warm. Some way to extend the ""keep warm"" feature would make it a 5 star."
